,links
9638,https://www.swiggy.com/bangalore/grillo-koramangala-koramangala
9639,https://www.swiggy.com/bangalore/chun-li-koramangala-koramangala
9640,https://www.swiggy.com/bangalore/smoodies-koramangala-koramangala
9641,https://www.swiggy.com/bangalore/onesta-koramangala
9642,https://www.swiggy.com/bangalore/bare-grills-koramangala-koramangala
9643,https://www.swiggy.com/bangalore/axomi-taste-of-assam-7th-block-koramangala
9644,https://www.swiggy.com/bangalore/maa-di-hatti-koramangala-koramangala
9645,https://www.swiggy.com/bangalore/hungree-traveller-koramangala-koramangala
9646,https://www.swiggy.com/bangalore/lucknowiz-1st-block-koramangala
9647,https://www.swiggy.com/bangalore/biryani-miya-koramangala-koramangala
9648,https://www.swiggy.com/bangalore/bite-me-cupcakes-4th-block-koramangala
9649,https://www.swiggy.com/bangalore/lot-like-crepes-koramangala-7th-block-koramangala
9650,https://www.swiggy.com/bangalore/homely-koramangala1-koramangala
9651,https://www.swiggy.com/bangalore/jhanavi-restaurant-bellandursarjapur
9652,https://www.swiggy.com/bangalore/indulge-by-innerchef-next-to-bosch-back-gate-koramangala
9653,https://www.swiggy.com/bangalore/kfc-intermediate-ring-road-koramangala
9654,https://www.swiggy.com/bangalore/milkshake-theory-koramangala-koramangala
9655,https://www.swiggy.com/bangalore/five-senses-cv-raman-nagar
9656,https://www.swiggy.com/bangalore/pot-o-noodles-koramangala-koramangala
9657,https://www.swiggy.com/bangalore/lord-of-combos-koramangala-koramangala
9658,https://www.swiggy.com/bangalore/pasta-street-koramangala-4th-block-koramangala
9659,https://www.swiggy.com/bangalore/appam-curry-koramangala-1-koramangala
9660,https://www.swiggy.com/bangalore/khatta-meetha-teekha-koramangala-koramangala
9661,https://www.swiggy.com/bangalore/maa-bhook-lagi-koramangala-koramangala
9662,https://www.swiggy.com/bangalore/hunger-hitman-koramangala-koramangala
9663,https://www.swiggy.com/bangalore/corner-house-ice-cream-7th-block-koramangala
9664,https://www.swiggy.com/bangalore/adraq-by-oyo-koramangala-koramangala
9665,https://www.swiggy.com/bangalore/behrouz-biryani-koramangala-6th-block-koramangala
9666,https://www.swiggy.com/bangalore/fava-bistro-koramangala-5th-block-koramangala
9667,https://www.swiggy.com/bangalore/waffle-magic-koramangala-1-koramangala
9668,https://www.swiggy.com/bangalore/natural-ice-cream-kornear-vipro-blk-koramangala-koramangala
9669,https://www.swiggy.com/bangalore/lassi-corner-koramangala
9670,https://www.swiggy.com/bangalore/ramji-chaiwale-koramangala-koramangala
9671,https://www.swiggy.com/bangalore/mitran-da-junction-koramangala-6th-block-koramangala
9672,https://www.swiggy.com/bangalore/nutrifit-koramangala
9673,https://www.swiggy.com/bangalore/crunch-cheese-pizza-koramangala
9674,https://www.swiggy.com/bangalore/friends-euro-fast-food-7th-block-koramangala
9675,https://www.swiggy.com/bangalore/banjara-melting-pot-4th-block-koramangala
9676,https://www.swiggy.com/bangalore/hotel-feast-ambur-biriyani-koramangala-koramangala
9677,https://www.swiggy.com/bangalore/chaat-street-koramangala-koramangala
9678,https://www.swiggy.com/bangalore/nagarjuna-koramangala-5th-block-koramangala
9679,https://www.swiggy.com/bangalore/smallys-resto-cafe-koramangala-5th-block-koramangala
9680,https://www.swiggy.com/bangalore/cream-chemistry-koramangala-koramangala
9681,https://www.swiggy.com/bangalore/rollin-koramangala-4th-block-koramangala
9682,https://www.swiggy.com/bangalore/zero-kelvin-koramangala-koramangala
9683,https://www.swiggy.com/bangalore/meat-and-eat-koramangala
9684,https://www.swiggy.com/bangalore/dominos-pizza-4th-block-koramangala
9685,https://www.swiggy.com/bangalore/paratha-singh-pakora-king-koramangala-6th-block-koramangala
9686,https://www.swiggy.com/bangalore/sharief-bhai-koramangala-koramangala
9687,https://www.swiggy.com/bangalore/kurtoskalacs-koramangala-5th-block-koramangala
9688,https://www.swiggy.com/bangalore/dice-n-dine-koramangala-koramangala
9689,https://www.swiggy.com/bangalore/orchard-fresh-natural-ice-creams-kulfi39s-koramangala
9690,https://www.swiggy.com/bangalore/bundar-6th-block-koramangala
9691,https://www.swiggy.com/bangalore/fresh-pressery-cafe-koramangla-koramangala
9692,https://www.swiggy.com/bangalore/nandhana-mithai-koramangala-koramangala
9693,https://www.swiggy.com/bangalore/fnp-cakes-n-more-koramangala
9694,https://www.swiggy.com/bangalore/truly-punjab-koramangala-koramangala
9695,https://www.swiggy.com/bangalore/eat-well-eat-for-a-cause-bellandur-sarjapur-bellandursarjapur
9696,https://www.swiggy.com/bangalore/flavour-of-himalaya-koramangala
9697,https://www.swiggy.com/bangalore/lassi-shop-1st-block-koramangala
9698,https://www.swiggy.com/bangalore/zangos-grill-koramangala-koramangala
9699,https://www.swiggy.com/bangalore/leon-grill-koramangala-koramangala
9700,https://www.swiggy.com/bangalore/little-lucknow-above-madeena-hotel-jnc-road-koramangala
9701,https://www.swiggy.com/bangalore/momo-jojo-5th-block-koramangala
9702,https://www.swiggy.com/bangalore/99-pancakes-koramangala-koramangala
9703,https://www.swiggy.com/bangalore/chocolate-koramangala
9704,https://www.swiggy.com/bangalore/mc-donalds-kormangala-koramangala
9705,https://www.swiggy.com/bangalore/golden-china-koramangala-1st-block-koramangala
9706,https://www.swiggy.com/bangalore/grand-gowdru-hotel-koramangala-6th-block-koramangala
9707,https://www.swiggy.com/bangalore/hotel-empire-5th-block-koramangala
9708,https://www.swiggy.com/bangalore/a2b-veg-7th-block-koramangala
9709,https://www.swiggy.com/bangalore/cochin-connection-koramangala-6th-block-koramangala
9710,https://www.swiggy.com/bangalore/tibbs-frankie-koramangala-koramangala-2
9711,https://www.swiggy.com/bangalore/d-hide-5th-block-koramangala
9712,https://www.swiggy.com/bangalore/taco-bell-koramangala
9713,https://www.swiggy.com/bangalore/barbeque-station-7th-block-koramangala
9714,https://www.swiggy.com/bangalore/bangaliana-7th-block-koramangala
9715,https://www.swiggy.com/bangalore/vegan-heat-koramangala-koramangala
9716,https://www.swiggy.com/bangalore/the-bun-town-koramangala-koramangala
9717,https://www.swiggy.com/bangalore/mo-changs-koramangala-koramangala
9718,https://www.swiggy.com/bangalore/kaaram-koramangala-koramangala
9719,https://www.swiggy.com/bangalore/xo-belgian-waffle-koramangala-koramangala
9720,https://www.swiggy.com/bangalore/the-chinese-box-koramangala-koramangala
9721,https://www.swiggy.com/bangalore/the-waffle-hut-koramangala-koramangala
9722,https://www.swiggy.com/bangalore/twist-corner-koramagala-koramangala
9723,https://www.swiggy.com/bangalore/gundappa-donne-biryani-koramangala-koramangala
9724,https://www.swiggy.com/bangalore/falahaar-kota-kachori-6th-block-koramangala
9725,https://www.swiggy.com/bangalore/chettys-corner-koramangala-koramangala
9726,https://www.swiggy.com/bangalore/ganesh-restauvant-koramangala-koramangala
9727,https://www.swiggy.com/bangalore/midnight-mania-koramangala-koramangala
9728,https://www.swiggy.com/bangalore/juice-maker-8th-block-koramangala
9729,https://www.swiggy.com/bangalore/beijing-bites-5th-block-koramangala
9730,https://www.swiggy.com/bangalore/chickenwalla-next-to-bosch-back-gate-koramangala
9731,https://www.swiggy.com/bangalore/bameys-restro-cafe-5th-block-koramangala
9732,https://www.swiggy.com/bangalore/krispy-kreme-7th-block-koramangala
9733,https://www.swiggy.com/bangalore/aubree-koramangala
9734,https://www.swiggy.com/bangalore/pizza-stop-4th-block-koramangala
